"Country","Region","FreeParties"
"Sri Lanka","Asia/Pacific","0.653162589525604"
"Nepal","Asia/Pacific","0.667951187280436"
"Thailand","Asia/Pacific","0.494262649677618"
"Cambodia","Asia/Pacific","0.348493224645793"
"Laos","Asia/Pacific","0.207559330166712"
"Viet Nam","Asia/Pacific","0.0610790709962788"
"Malaysia","Asia/Pacific","0.565530737022193"
"Singapore","Asia/Pacific","0.476013846557471"
"Philippines","Asia/Pacific","0.545984208026304"
"Indonesia","Asia/Pacific","0.572116141119747"
"Timor-Leste","Asia/Pacific","0.689553242003499"
"Australia","Asia/Pacific","0.713785806689502"
"Papua New Guinea","Asia/Pacific","0.59171196915019"
"New Zealand","Asia/Pacific","0.707083624093129"
