"Country","Region","Elections","Suffrage","FreeParties","Government"
"United States","North America",0.7629996235168,0.908227056764191,0.891678735807031,1
"Canada","North America",0.91060620827777,0.942635658914729,0.713455382830264,1
"Cuba","Latin America/Caribbean",0.265354160677025,0.915328832208052,0.128229861079111,0.385041454066817
"Haiti","Latin America/Caribbean",0.435593668544588,0.855163790947737,0.579834923641226,0.609309999409571
"Dominican Republic","Latin America/Caribbean",0.614413911182621,0.905876469117279,0.584666084469176,1
"Jamaica","Latin America/Caribbean",0.883606508759262,0.945686421605401,0.665073272476022,1
"Trinidad and Tobago","Latin America/Caribbean",0.801957990935878,0.949637409352338,0.700748555077256,1
"Barbados","Latin America/Caribbean",0.833467549673428,0.934683670917729,0.679180074893663,0.941213368432264
"Mexico","Latin America/Caribbean",0.77678503605393,0.931582895723931,0.604615792639154,1
"Guatemala","Latin America/Caribbean",0.671082089237167,0.90977744436109,0.584805737335232,1
"Honduras","Latin America/Caribbean",0.439974253467348,0.850362590647662,0.568677192894302,0.817114473361353
"El Salvador","Latin America/Caribbean",0.720981698066415,0.884421105276319,0.706254928121414,1
"Nicaragua","Latin America/Caribbean",0.414705493936865,0.821005251312828,0.39080263935308,0.609309999409571
"Costa Rica","Latin America/Caribbean",0.949267143026981,0.97664416104026,0.749128433583456,1
"Panama","Latin America/Caribbean",0.831850020081034,0.933833458364591,0.688147886788313,1
"Colombia","Latin America/Caribbean",0.812913776889299,0.926031507876969,0.737137647691927,1
"Venezuela","Latin America/Caribbean",0.215737936175283,0.854563640910228,0.381362265589134,0.385041454066817
"Ecuador","Latin America/Caribbean",0.700159481897752,0.924881220305076,0.65767790912863,1
"Peru","Latin America/Caribbean",0.786851314571656,0.943135783945987,0.655462420137618,1
"Brazil","Latin America/Caribbean",0.740157840440473,0.929182295573893,0.698319649933809,1
"Bolivia","Latin America/Caribbean",0.49711322186279,0.873568392098025,0.559509581201114,0.715201195467641
