"Country","justice","civil liberties","rights"
"South Africa",0.696584337618651,0.629676711522947,0.462775878319774
"Namibia",0.742750884356065,0.701879528553923,0.462926389424437
"Lesotho",0.620390278250579,0.616044772100581,0.432366794859151
"Botswana",0.758415033132661,0.654207311920771,0.554372049321063
"Eswatini",0.518443060498324,0.354825425755931,0.252738760734186
"Madagascar",0.459720587345357,0.562923054647022,0.350479719687194
"Mauritius",0.801518612522182,0.720838598296329,0.646029799669303
"Morocco",0.718129540320262,0.459149684958489,0.456494661262563
"Algeria",0.521507616045557,0.444463972010943,0.488675998996267
"Tunisia",0.858878792283187,0.629654292711779,0.60402545922563
"Libya",0.381608810024432,0.35700525512451,0.35881351724171
"Sudan",0.395216066799962,0.397009425425258,0.273181359271462
"South Sudan",0.34909158191909,0.264474205076723,0.181340214716904
"Iran",0.47430366412894,0.284006529982362,0.300097213554125
"Turkey",0.378245829051117,0.286296288973779,0.360147806567961
"Iraq",0.473443492999832,0.432357319987103,0.282225772707476
"Egypt",0.543366033435875,0.265621238563039,0.321618841501927
"Syria",0.214395440025074,0.130263243371753,0.237308420206471
"Lebanon",0.615184013501225,0.539077697418174,0.407501197120984
"Palestine/West Bank",0.742146361811887,0.50253563982286,0.412307403063957
"Jordan",0.669556534911254,0.487097212756856,0.450031447167034
"Israel",0.801567400494024,0.609144440156048,0.629879421337392
"Saudi Arabia",0.462142087636053,0.228688925334598,0.302787552566385
"Yemen",0.344456734582784,0.248173296438121,0.0730271576552869
"Kuwait",0.723911532867608,0.460540390940853,0.391176776266923
"Bahrain",0.412906384244524,0.234499252127049,0.276803506999232
"Qatar",0.620480879364765,0.326626622734206,0.364984792326065
"United Arab Emirates",0.530241486791304,0.325914144854717,0.391540508341587
"Oman",0.718813544146986,0.371677643436459,0.374343605204987
"Afghanistan",0.344975590485846,0.444941070638204,0.284557956365624
"Turkmenistan",0.293395465357287,0.187855276631812,0.330788810298602
"Tajikistan",0.535236508568782,0.275228323927773,0.188882104258175
"Kyrgyzstan",0.60437477793916,0.532424915120914,0.463650276782953
"Uzbekistan",0.515843438091931,0.351148051001735,0.383856285103069
"Kazakhstan",0.585459538280935,0.423441940936083,0.494714025565133
"China",0.500301052978274,0.233083392093882,0.434467888499368
"Mongolia",0.654580523658694,0.727614098157038,0.562604302070435
"Taiwan",0.859456338161726,0.764799931207836,0.74389365690673
"Democratic People's Republic of Korea",0.253646366245264,0.0412597924381651,0.312046563158933
"Republic of Korea",0.868821761330333,0.755734672398226,0.689581375478895
"Japan",0.891982998088353,0.741844022592116,0.744412151094909
"India",0.602034254913888,0.437361897823453,0.386660714771905
"Pakistan",0.414468257332075,0.423379690129857,0.408196446865869
"Bangladesh",0.425511550238378,0.404616130836199,0.270539700808318
"Myanmar",0.496083035670597,0.455708381990911,0.356455751544317
"Sri Lanka",0.656722215596449,0.590357212130608,0.506378985889773
"Nepal",0.696938247744437,0.567048571944269,0.471221976748367
"Thailand",0.448176589134144,0.403446093996356,0.421775001344448
"Cambodia",0.387815654528843,0.369876157985554,0.23696029439292
"Laos",0.412478618578594,0.181491287040623,0.369262081180686
"Viet Nam",0.499445569581767,0.341449782691216,0.495827862451698
"Malaysia",0.708327172148502,0.528259740491304,0.469112895417711
"Singapore",0.765563526892083,0.460339836579752,0.682280052654102
"Philippines",0.639833331638236,0.516663122204473,0.369537021176675
"Indonesia",0.643642579463267,0.566662371139976,0.406397255403165
"Timor-Leste",0.549429591140435,0.692553354393623,0.465041910723613
"Australia",0.923168719930441,0.765661468114139,0.690613544955216
"Papua New Guinea",0.629993798888759,0.672907471894512,0.276472246391476
"New Zealand",0.829545168663646,0.843037521896168,0.791759297288686
"African Union",0.548237057250199,0.508143394820188,0.398607357219074
"ASEAN",0.555707341959559,0.424877419346685,0.423067579507303
"European Union",0.749896524053708,0.678131319671978,0.624633193041666
"OECD",0.834757463670714,0.762663872608505,0.748992347916908
"OAS",0.591853067498087,0.64382188171259,0.525547847824978
"East Africa",0.491929775248646,0.381941128548474,0.375788039041323
"Central Africa",0.426174586974616,0.424658470801887,0.297074972881253
"Southern Africa",0.608026668453169,0.56513936267405,0.423248810068803
"West Africa",0.589317130589505,0.611248811940566,0.442587685338264
"North Africa",0.538256920118338,0.402482581981534,0.383450007459495
"Caribbean",0.586475876131399,0.645334568611898,0.536482860431049
"Central America",0.51917988622684,0.610091366158316,0.461080269405665
"South America",0.599141998104962,0.635168567357876,0.526384378336747
"North America",0.825896123013147,0.800607197228196,0.714196681915514
"Central Asia",0.506861945647619,0.354019701523663,0.372378300401586
"East Asia",0.671464840077107,0.544055984814544,0.581167656201545
"South Asia",0.523441686051846,0.477950762250432,0.387925963574976
"South-East Asia",0.555079566877647,0.451645012851379,0.427265012628934
"Oceania",0.794235895827615,0.760535487301606,0.586281696211793
"Middle East",0.538614012077864,0.351650609169624,0.328010411783116
"East-Central Europe",0.716155768991901,0.681430435673089,0.641653595681458
"Eastern Europe",0.569793007013851,0.534218310031809,0.567621095222835
"North/Western Europe",0.887050750319584,0.813440392637364,0.812749747579782
"Southern Europe",0.776115197269534,0.696577578027608,0.660437387163904
"Africa",0.548237057250199,0.508143394820188,0.398607357219074
"Latin America/Caribbean",0.5715014974533,0.630188376015581,0.509143601382322
"North America",0.825896123013147,0.800607197228196,0.714196681915514
"Asia/Pacific",0.587908408042371,0.490006519347559,0.456931614519726
"Middle East",0.538614012077864,0.351650609169624,0.328010411783116
"Europe",0.756785459962007,0.702423265547919,0.68730371303926
"World",0.618185025843048,0.565932061528176,0.501743896414061
