"Country","justice","civil liberties","rights"
"United States",0.840079348625277,0.755449196579152,0.618036138005094
"Canada",0.811712897401018,0.845765197877241,0.810357225825934
"Cuba",0.426850602048943,0.297982649842251,0.680009256648265
"Haiti",0.350581378494099,0.599810140959198,0.17743866080391
"Dominican Republic",0.431959676473014,0.692114725994454,0.394859084143276
"Jamaica",0.710604376951786,0.784738197865805,0.674489238033397
"Trinidad and Tobago",0.824366337402231,0.729683207140906,0.626271564431695
"Barbados",0.77449288541832,0.76767848986877,0.66582935852575
"Mexico",0.464093979832827,0.633032230596184,0.493905724528922
"Guatemala",0.396285730748788,0.610120015167538,0.301517893225735
"Honduras",0.435399171693667,0.573020316590051,0.395265253843156
"El Salvador",0.399868435684611,0.654793420522889,0.412656143483771
"Nicaragua",0.368443232329835,0.284897397365777,0.361970583665537
"Costa Rica",0.834341213577533,0.811236400467406,0.751505989230387
"Panama",0.735827439720621,0.703539782398367,0.510740297862144
"Colombia",0.548433499695106,0.55091533916069,0.462232903459321
"Venezuela",0.325341976510581,0.35450743884192,0.487938211834786
"Ecuador",0.558446126736097,0.699328100181036,0.476184656681484
"Peru",0.600849790762284,0.703120469513994,0.455697242528324
"Brazil",0.635038948725639,0.57129974575879,0.55346658987553
"Bolivia",0.494324196059835,0.55160426030129,0.504064898102692
"Paraguay",0.571165609540854,0.661860634495197,0.381439295625039
"Chile",0.777453278834024,0.722648302573815,0.553647205908495
"Argentina",0.64777180160201,0.728329841015192,0.621434384261914
"Uruguay",0.832594752583187,0.808071541736837,0.767738395089883
"United Kingdom",0.81878448848912,0.794224766266646,0.634352479528996
"Ireland",0.896122668208601,0.831963982888965,0.748437760987235
"Netherlands",0.86905455419222,0.789510080326641,0.850688662830494
"Belgium",0.918186698340175,0.827257102907729,0.849942255840565
"Luxembourg",0.925151751103553,0.830497105508676,0.813074182141456
"France",0.84449260150678,0.753745550537311,0.753545237212993
"Switzerland",0.93586127152421,0.823773578942987,0.808228599629237
"Spain",0.868226684849744,0.809546378610393,0.734660361376586
"Portugal",0.765806872527339,0.848223237055183,0.701133957692138
"Germany",0.953414313847062,0.825804254204403,0.907178666877011
